4.400	The problem likely will mean corrective changes before the shuttle fleet starts flying again.	He said the problem needs to be corrected before the space shuttle fleet is cleared to fly again.
3.2	At CPAC, Mitt Romney Stresses Conservative Credentials	CPAC 2012: Mitt Romney Struggles to Connect with Conservative Base
3.4	8 rockets fired from Gaza into southern Israel; none hurt	Ten rockets from Gaza land in southern Israel; none hurt
3.2	Glorious triple-gold night for Britain	Britain savors golden night on track
0.6	Bahraini protesters and police clash after funeral	Greek protesters, police clash as bailout deal in limbo
1.6	U.S. soldier killed in shooting incident in S. Afghanistan	Five NATO soldiers killed in Afghanistan
0.8	Polls close in Egyptian presidential election	Press Releases: Yemeni Presidential Election
1.2	Police 'did not link' Savile claims	BBC faces questions for pulling Savile case
3.4	Eurozone unemployment stays at record 11 percent	Eurozone unemployment hits record high
4.2	James Murdoch quits BSkyB	James Murdoch quits role at BSkyB
4.8	Iconic science fiction writer Ray Bradbury dies at 91	Science fiction legend Ray Bradbury dead at 91
0.6	Egypt presidential election May 23-24	US presidential election 2012
3.4	Four French soldiers killed in Afghan suicide blast	Four foreign soldiers killed in Afghan east
4	UN observers find traces of Syrian massacre	UN team investigates Syrian massacre
3.6	AP poll: Majority in US have prejudice against blacks	AP Poll: Majority Harbor Prejudice Against Blacks
4.2	AP Source: Redskins to trade for No. 2 pick	Redskins trade for No. 2 pick
4	China says defense budget to rise 11.2% in 2012	China's defence spending to rise 11.2%
0	String of Iraq blasts kills at least 32	Strong Italy Quake Kills at Least Six
3.8	Ecuador President Correa says no decision made on Assange asylum	Ecuador yet to decide on Assange's asylum
4.4	Apple buying security firm AuthenTec for $356 million	News Summary: Apple buying AuthenTec for $356M
3.8	US offers US$10 mil. for Pakistan militant	US offers $10 million for Pakistani militant chief
3.8	6 NATO troops killed in Afghanistan IED attack	6 NATO troops killed in Afghanistan
0.8	Osama Bin Laden Wives to Be Jailed	Osama Bin Laden movie to be filmed in India
4	Egyptians vote in landmark presidential election	Egyptians go to polls in historic election
3.8	JetBlue pilot who disrupted flight declared insane, not guilty	JetBlue pilot who caused disruption on flight not guilty
2.2	Tsunami warning: No need for SA to panic	Tsunami warning after Aceh quake
4.8	US Hands Over Bagram Prison to Afghan Authorities	U.S. transfers Bagram prison to Afghan control
2	Jeremy Hunt distances himself from adviser who 'overstepped the mark'	Jeremy Hunt clings on as SpAd quits over News Corp emails
0.4	Obama praises U.S.-Latin America trade ties	Obama Secret Service agents sent home
2	Blitzbokke ousted by Fiji	Blitzbokke beaten by NZ
0.4	Obama and Romney focus on swing-states	Team Anna yet to decide on contesting state polls
4	Trade newspaper Variety up for sale	Hollywood trade publication Variety put up for sale
0.2	'Grenade attack' kills one and injures at least 11	Sex attack on woman investigated
1.8	Toulouse siege: Police surround flat of 'Islamic warrior' suspected of being serial killer	Toulouse shooting: France was on the highest level of security of security alert
1.4	'Scores of bodies' found in Syria	Eight more bodies found on ship
0.8	Shooter charged with murder of US black teen	Thoughts on race relations under a black president
1.8	Jonny Bairstow and Eoin Morgan shine for England in Mumbai	Bairstow hits ton in India tour match
0.8	Australians flee homes amid floods	Australian speaker steps aside
4.4	How wind farm developers 'use camera tricks to make turbines look smaller than they really are'	Wind farm developers using 'tricks' to make turbines look smaller
2.4	US drone kills six militants in Pakistan: officials	US missiles kill 15 in Pakistan: officials
1.2	Wigan 3-2 Wolves: Match report, pictures & video highlights	Arsenal 0-0 Chelsea: Match report, pictures & video highlights
1.6	UK spends £3m on foreign prisons	US spends $50m on carp invasion
2.6	Nigeria: Nigerian troops swarm after 40 killed in student massacre	Nigeria police make arrests after college massacre
2.2	Nerves Calmed -- For Now : Markets Jump on Relief over Spanish Bank Bailout	Focus Shifts to Greece After Spain Secures Bank Bailout
1.4	Heavy Fighting Reported in Syria's Aleppo	Heavy fighting reported in Damascus
1.8	France says Greece must show credibility for eurozone	France's Hollande backs Greece but urges credible reform
1.2	Avengers sets box office record	The Hunger Games breaks US box office record
1	4 French Soldiers Reported Killed in Afghanistan	British Soldier Killed In Afghanistan
3.4	Spanish bailout dilemma gets more acute	Spanish dilemma gets more acute
0.6	NATO soldier dies in Afghanistan	Two Aust soldiers wounded in Afghanistan
2.4	Chinese stocks open lower Wednesday	China stocks open lower Friday
1	Palestinian leadership condemn Israeli FM call to oust Abbas	Palestinian leadership backs Fatah-Hamas Doha deal
4.8	Mitt Romney wins Maryland GOP primary	Romney wins Maryland Republican primary
3.6	Man finds car on eBay 42 years after it was stolen	Texas man finds his car 42 years after it was stolen
3.4	Sylvester Stallone's son found dead in Hollywood	Sylvester Stalloneâ€™s son, Sage Stallone, found dead in Hol
2.8	NATO: 4 aid workers rescued from Afghan insurgents	5 aid workers freed in operation in Afghanistan
1.8	Russia jails Pussy Riot protest punks for two years	Russian court to rule in Pussy Riot trial
2	Germany dodges recession with growth in first quarter	Eurozone avoids recession in Q1, thanks to Germany
4.4	Israel bars German writer Grass from visiting over poem	Israel bars German author Grass over poem
1.8	The Note's Must-Reads for August 1, 2012	The Note's Must Reads for Wednesday July 4, 2012
2.4	NATO US troop detained over shooting of Afghan civilians	U.S. says saddened by shooting on Afghan civilians
1.6	Hollande wins French presidential election	East Timor votes in presidential election
4.8	Lance Armstrong drops fight against doping charges	Lance Armstrong calls it quits in fight against doping charges
1.8	Military: Syria chemical stocks threaten Israel	Russia tells Syria chemical arms threat is unacceptable
3.6	Fitch upgrades Ford to investment grade	Fitch restores Ford credit to investment grade
2	Syria peace plan conditions “unacceptable,” opposition says	Syria peace dashed as deadline passes
1.4	Asian stocks rise after Greek vote eases fears	Oil rises after Greek election result
2.4	Clashes as Greeks protest against more cutbacks	Clashes erupt as Greek vote nears
2.4	9 dead, 11 hurt, 4 missing in Mont Blanc avalanche	6 dead, several missing in Mont Blanc avalanche
4.6	Taliban pose as 'attractive women, on Facebook for spying	Taliban soldiers posing as pretty women on Facebook to get troops' secrets
1.2	China activist Chen lands in US	Chinese activist renews call to fight injustice
3.2	City Room: Empire State Building Shooting	2 dead in shooting outside Empire State Building
4.4	Mohamed Morsi sworn in as Eygptian president	Mursi sworn in as Egyptian president
3	British soldier killed in southern Afghanistan	Two British soldiers killed in Afghanistan
1	Attack on Nato base in Afghanistan kills 15	Aid workers freed in Afghanistan raid
1	Yemen Suicide Blast, Drone Attack Kill At Least 30	Spate of Iraq attacks kill at least six
3	Torres moving on after Olympic bid fails	Torres finishes 4th, misses out on sixth Olympics
0.6	Obama silent on China dissident	Obama to visit Korean DMZ
2.8	Pakistan begins demolition of bin Laden compound	Pakistan demolishes Osama bin Laden hideout
3.6	Sudan blames Israel for Khartoum arms fire	Sudan accuses Israel of airstrike on arms factory
3.8	House-Senate deal reached on payroll tax measure	Negotiators reach deal on Congress payroll tax cut bill
3.6	Prince Philip hospitalised in London	Britain's Prince Philip hospitalised, to miss jubilee
1.4	Tropical Storm Isaac drenches Haiti, swipes Cuba	Tropical Storm Isaac threatens dam
3.8	'Desperate Housewives' Actress Kathryn Joosten Dies	'Housewives' actress Kathryn Joosten dies at 72
3	Gaza rockets lands in Ashkelon Coast area; none hurt	Rocket fired from Gaza damages home in Sderot; none hurt
2.2	Foreign pro-Palestinian activists seek to enter West Bank	100 pro-Palestinians seek to enter Israel at Allenby
2	Suicide Bomber Kills 6 in Afghan Capital	Suicide bomber kills 37 at mosque in Afghanistan
3	World stocks rise on hopes for EU, US stimulus	Stocks rise on hopes for a Fed stimulus
4	Gore Vidal dead at 86: Legendary author, playwright, and politician dies	Gore Vidal, celebrated author, playwright, dies at 86
3.6	Egypt's Coptic Pope Shenuda III dies	Egypt prepares to bury Coptic Pope Shenuda III
2.4	World stocks fall before Greek debt deal deadline	Asia stocks fall ahead of Greek debt deal deadline
4.2	South Africa police shot dead 30 miners	South Africa police say they killed 30+ miners
2.4	Isaac drenches Haiti, heads toward Cuba, Florida	Isaac nears Haiti with homeless quake population
1.2	Britain reaches out to Syria opposition	Who cares about the Syrian people?
4.6	Denver shooting: Police to detonate devices in suspect's home	Police to detonate devices in Colorado shooting suspect's home
4	Obama relaxes deportation rules for young immigrants	U.S. relaxes deportation rules for young people: Napolitano
3.8	Microsoft's Surface a big bet on future: Analysts	Microsoft's Surface tablet promising, but questions remain
3.6	'Whitey' Bulger's girlfriend gets 8 years	Mobster \"Whitey\" Bulger's girlfriend gets 8 years
3.8	Mauritanian president shot by army unit	Mauritanian president shot at
1.4	Syria hands over bodies of journalists	Syria TV says govt troops free captive journalists
4.6	Man sets himself on fire at Breivik trial	Man sets self afire outside Breivik trial
3.8	U.S. drone strike kills 10 in northwest Pakistan	US drone in Pakistan kills 10 suspected militants
5	9,000 U.S. Marines to leave Okinawa	9,000 U.S. Marines to move out of Okinawa: statement
1.8	Toys R Us waives fee for layaway program	Wal-Mart lowers fee for holiday layaway program
4.4	EU Set for New Sanctions on Iran	EU plans major new sanctions against Iran
3	Iran expands nuclear enrichment activities: IAEA report	Iran steps up sensitive nuclear work - IAEA
3	Donna Summer, Queen of Disco, dies at 63	Donna Summer, the queen of disco
2	Assad meets with Red Cross officials in Syria	Assad makes Red Cross pledge
4	Iraqi Attacks Kill General, Four Police	Attacks in Iraq kill general and 4 others
2.6	At least 80 dead in northwest Iran quakes	180 dead, 1,300 injured in northwest Iran earthquakes
5	Brazil's 'pop-star priest' gets mammoth new stage	Brazil's 'Pop-Star Priest' Gets Mammoth New Stage
0.6	Washington: More Than 100 Are Charged in Medicare Fraud Sweep	Washington: Court Upholds Voting Rights Act in Alabama Case
4.2	Putin claims victory in Russia's presidential election	Putin claims victory in presidential vote
1	Clinton ready to fight for Obama	Clinton a tough act for Obama to follow
4.4	Romney announces Paul Ryan as running mate	Romney chooses Ryan as GOP running mate
2.2	European markets rise on Greek bailout hopes	European Ministers Are Poised to Approve Greek Rescue
4.6	Edwards Acquitted on 1 Count, Mistrial on Others	Edwards found not guilty on one count; mistrial on others
4.2	Ukrainian weightlifter gets four-year doping ban	Ukraine's Korobka gets four-year doping ban
3	Gunman may have filmed school massacre	Killer may have filmed France school shooting
1.6	Hong Kong stocks close down 0.28%	Hong Kong stocks open 0.62 pct higher
4.5	Coroner: Whitney Houston died in bathtub	Coroner confirms Whitney Houston found in bathtub
0.8	Suicide bomber attacks Algerian security base	Suicide bomber targets Nigerian church
1	Thailand: Iranians planned to attack Israelis	Malaysia to extradite Iranian for attack on Israelis
1.2	Israeli military court rejects appeal of Palestinian hunger striker	Israel reaches deal with Palestinian hunger strikers
0.8	Japan suffers severe flooding - in pictures	Oklahoma wildfires destroy homes - in pictures
1.6	Avengers sets box office record	'Hunger Games' sets box office records
4.2	Putin 'Wins Russian Presidential Election'	Putin 'wins' Russia's presidential election
0	Japan to deport Chinese held over island landing	German court weighs delay to euro fund ruling
1.4	Putin casts ballot as Russians vote	Putin to win Russia's presidential election
4.8	UN Chief Finds His Voice, Remains Cautious on China	Insight: U.N. chief finds his voice, but remains cautious on China
4.4	Some Syria violence amounts to civil war-Red Cross	Some Syria violence qualifies as civil war -Red Cross
3.2	Libyans begin handing in weapons	Libyans transfer weapons to army
2.4	British Archbishop of Canterbury changes career to Cambridge	Archbishop of Canterbury to step down amid rifts
4.2	Punjab Mail derails near Rohtak, 19 injured	Punjab Mail derails near Rohtak in Haryana, 19 injured
4	George Zimmerman 'to be charged' with killing Trayvon Martin	George Zimmerman to be charged in Trayvon Martin case, official says
3.8	Indian Maoist rebels offer talks to free Italian hostages	India: Maoist rebels in talks on freeing Italians
